XYDATA,128_03,32_01,32_02,32_03,64_01,64_02,64_03,128_01,128_02,4_02,4_03,8_01,8_02,8_03,16_01,16_02,16_03,0.2_03,1_01,1_02,1_03,2_01,2_02,2_03,4_01,0.2_02,0.2_01,0.1_03,0.1_02,0.1_01
3230.1099,499.835,499.4,496.571,496.951,498.256,497.795,497.583,498.248,501.201,495.712,495.928,496.155,494.288,496.277,496.169,499.337,495.684,498.381,494.764,495.905,497.017,498.257,496.044,497.135,496.595,496.236,496.582,499.906,496.678,495.956
3231.1099,502.633,500.879,498.649,494.885,500.607,497.435,499.627,500.443,498.083,495.985,496.552,495.565,494.784,498.049,494.75,499.503,496.508,496.299,495.148,494.943,499.124,499.933,495.12,499.801,498.537,495.569,498.467,497.87,494.416,497.206
3232.1099,501.138,497.733,497.942,495.615,499.215,496.882,499.197,503.44,502.223,495.65,496.373,497.285,497.643,496.616,493.161,499.221,495.783,495.808,496.71,495.35,498.343,497.386,497.723,500.755,496.872,497.338,495.79,498.458,495.68,498.536
3233.1099,499.857,495.731,495.294,495.706,497.59,496.249,499.35,503.402,504.667,496.771,495.704,499.04,498.073,495.129,493.492,497.379,495.687,494.972,497.739,496.508,497.184,495.88,499.026,500.035,494.91,498.913,493.482,499,496.471,499.076
3234.1099,501.036,497.053,493.584,494.475,497.788,496.444,500.29,500.828,502.225,499.111,494.844,499.233,495.252,495.059,495.537,494.409,496.251,493.588,497.602,497.692,497.297,497.181,497.183,498.724,494.499,497.991,494.605,497.714,495.03,498.69
3235.1099,502.175,497.769,496.77,495.754,498.407,499.08,498.062,501.628,501.345,499.209,493.726,498.208,494.065,494.556,496.156,494.947,494.478,494.252,497.385,498.398,497.963,497.326,495.634,498.537,494.476,494.086,497.672,495.385,493.85,498.145
3236.1099,503.822,497.943,501.357,497.952,499.404,502.807,496.388,506.172,503.778,498.027,493.006,497.044,494.938,494.435,495.968,498.123,492.946,495.94,497.044,498.068,498.044,496.513,495.478,498.109,494.491,491.016,499.517,494.438,494.395,497.547
3237.1099,507.456,499.641,500.998,497.251,501.157,504.858,501.168,510.929,507.531,498.426,493.686,497.005,495.818,496.379,497.223,497.759,496.056,496.062,495.988,496.582,496.776,496.96,496.142,495.267,494.907,493.41,497.457,496.983,496.634,496.747
3238.1099,508.81,501.159,498.624,496.608,501.224,504.847,504.494,511.595,508.883,498.244,496.154,498.397,497.474,497.444,497.954,495.995,499.35,496.143,494.789,496.124,496.008,496.761,497.245,493.456,496.438,497,495.337,499.141,497.319,496.564
3239.1099,505.265,500.595,497.765,498.329,498.614,503.077,500.668,507,505.87,495.97,499.334,500.128,499.805,496.115,496.684,497.342,498.844,497.46,494.442,497.757,497.114,495.075,498.45,495.202,498.642,497.496,496.412,497.966,495.302,497.111
3240.1099,501.573,498.2,497.135,498.897,497.27,499.838,497.837,503.2,501.524,494.794,499.477,498.85,499.041,496.895,495.772,498.545,497.446,498.067,496.021,498.636,498.689,496,499.355,497.296,498.442,496.478,498.293,496.497,495.955,496.403
3241.1099,500.44,496.055,496.779,497.695,497.924,497.435,498.759,502.507,499.319,495.98,496.365,495.496,495.346,499.38,495.96,497.248,496.7,497.29,498.269,497.802,499.201,499.38,498.998,497.386,496.601,495.894,498.468,496.981,499.124,495.021
3242.1099,501.099,497.26,498.365,497.629,497.545,499.466,498.892,502.464,501.742,497.995,493.733,495.219,493.286,497.892,495.886,495.89,495.841,496.278,497.963,496.777,497.689,500.314,496.182,495.129,497.669,496.97,495.607,499.524,498.565,496.063
3243.1099,500.992,499,498.992,497.494,497.002,501.496,498.502,503.511,504.501,498.999,493.001,496.502,494.009,494.994,496.003,495.164,495.502,496.002,497.001,495.997,495.997,498.993,492.99,492.492,499.501,498.504,492.997,500.492,495.488,497.5
3244.1099,498.261,497.283,495.509,495.283,498.253,498.006,499.455,506.382,502.25,497.9,494.061,495.767,496.33,495.751,497.113,494.172,496.468,496.765,498.117,495.226,496.303,497.818,492.127,492.086,498.14,498.604,494.444,496.429,494.294,496.103
3245.1099,497.181,496.012,493.522,494.831,498.957,496.248,499.06,506.413,499.642,496.898,496.092,495.83,497.566,497.189,497.341,494.673,496.958,496.831,496.391,494.166,496.276,496.633,491.819,494.382,496.987,497.719,496.212,492.213,495.564,494.97
3246.1099,500.206,497.499,495.965,497.609,498.07,499.863,496.95,502.704,500.702,497.309,497.811,497.982,496.576,496.594,496.166,497.749,496.189,495.701,490.801,492.913,494.81,495.136,491.373,497.774,498.146,496.764,495.716,491.797,497.922,496.445
3247.1099,503.771,497.796,497.191,498.374,498.646,500.595,498.657,503.14,503.759,497.424,497.522,498.085,495.63,495.348,496.574,498.851,496.233,495.94,490.353,492.287,494.892,493.934,493.828,498.078,498.202,496.38,495.725,493.695,498.331,498.651
3248.1099,505.46,496.603,495.796,496.027,500.012,498.164,502.324,506.41,505.957,496.677,495.78,496.218,495.847,494.903,498.652,496.898,496.973,498.033,494.513,492.774,496.348,494.169,497.625,495.467,496.725,495.796,496.479,496.113,496.78,499.6
3249.1099,504.821,496.902,494.789,493.755,498.615,499.294,500.477,503.963,504.604,495.861,494.943,496.021,496.87,496.081,499.715,497.075,496.55,500.295,494.826,494.358,496.286,496.733,497.696,493.846,496.208,493.542,495.885,497.649,495.794,498.046
3250.1099,504.004,497.485,495.66,494.193,496.982,501.575,496.843,500.418,501.819,496.087,495.606,495.899,497.5,497.582,498.264,498.91,496.598,500.951,494.087,496.12,495.461,497.907,495.901,494.076,497.117,491.997,494.971,497.986,495.475,495.876
3251.1099,504.818,496.518,498.144,497.592,498.47,500.561,497.419,502.468,501.014,497.729,497.216,493.892,496.906,497.831,494.852,498.344,498.675,498.999,496.859,497.013,495.702,494.872,495.837,495.363,498.625,493.692,495.256,497.317,495.252,495.339
3252.1099,504.621,496.049,498.797,497.799,500.622,498.21,499.797,505.042,503.04,498.531,498.143,494.141,496.466,497.252,494.603,496.123,499.306,495.899,497.615,496.795,497.113,493.781,496.934,496.089,498.783,496.364,495.458,495.985,495.863,495.597
3253.1099,502.833,496.833,496.961,493.615,501.222,496.705,500.597,504.806,505.859,497.752,497.522,497.539,496.847,496.613,498.15,494.641,497.258,493.907,494.444,495.839,498.974,496.688,497.903,495.458,497.387,497.866,495.042,495.18,497.181,495.864
3254.1099,502.875,496.759,496.626,492.491,500.167,496.677,497.815,504.237,504.442,497.492,495.933,498.851,497.092,496.554,498.715,496.091,495.881,495.415,493.283,495.158,499.906,497.489,497.701,494.165,496.935,497.69,495.269,496.947,497.556,496.306
3255.1099,503.984,495.624,497.082,495.593,498.612,498.252,494.588,504.443,500.729,497.962,494.159,498.042,497.009,496.958,496.224,499.111,496.369,498.331,495.235,495.407,499.178,496.084,496.613,493.474,497.465,496.601,495.956,498.584,497.048,496.931
